generator	FFtype	Tstart	Tend	fitParams1	fitParams2	fitParams3	fitParams4	fitParams5
1			2		0		2015	-5			10			0			100			0
2			6		30		2015	-10			-2			1			1			0.12242
2			6		30		2015	-2			0			1			1			0.041737
2			6		30		2015	0			5			1			1			0.060628
2			6		30		2015	5			30			1			1			0.083448
2			6		30		2015	30			70			1			1			0.083867
2			2		30		2015	-5			10			0			0			14.355
2			2		30		1015	-5			10			0			0.11198			0
2			2		1015	2015	-5			10			0			0.15219			0
3			2		30		1015	-5			10			0			0.026421			0
3			2		1015	2015	-5			10			0			0.030041			0
4			2		30		1015	-5			10			0			0.01982			0
4			2		1015	2015	-5			10			0			0.032996			0
5			6		30		2015	-10			-2			1			1			0.14449
5			6		30		2015	-2			0			1			1			0.04365
5			6		30		2015	0			5			1			1			0.064579
5			6		30		2015	5			30			1			1			0.07784
5			6		30		2015	30			70			1			1			0.070824
5			2		30		1015	-5			10			0			0.01716			0
5			2		1015	2015	-5			10			0			0.034107			0
