Spike	80	130	180	230	280	330	380
2	48.1	20.2	14.3	12.2	11.6	10.9	11.1
3	108.3	43.6	22.3	17.0	14.7	13.4	13.9
4	108.1	55.6	37.2	27.5	22.5	19.6	19.5
5	116.8	53.0	42.7	34.7	28.0	27.0	26.5
6	124.9	58.2	41.7	35.4	31.1	29.3	31.4
7	133.1	60.0	42.5	36.5	32.8	30.6	30.5
8	126.0	62.4	43.1	37.2	32.3	30.4	31.6
9	136.7	60.2	43.2	38.1	34.6	32.8	31.9
10	141.5	60.9	45.2	36.6	33.3	30.8	33.1
11	131.6	59.6	44.4	38.2	34.7	32.0	33.1
12	156.6	62.5	44.4	38.0	33.6	32.5	34.0
13	153.2	60.4	44.0	37.7	33.9	31.9	34.7
14	156.0	62.2	46.1	38.1	33.2	32.3	34.5
15	154.5	59.4	43.5	39.0	35.0	33.2	35.2
